nutrition_ID,country_code,age_ID,variable_ID,median,lowerci_95,upperci_95,country_numeric
11552,IRN,2,11,19.0688067660656,5.38196561615171,31.8074336972102,364
11553,IRN,4,11,18.5153695217133,7.64520964531385,29.3553127023332,364
11554,IRN,5,11,17.1980054197895,7.47892505702969,28.1250356197474,364
11555,IRN,6,11,15.4872701865262,6.40788225470404,26.9965731683513,364
11556,IRQ,1,11,6.34498454669722,0.619775488662358,20.4033096376184,368
11557,IRQ,2,11,6.17647141516752,1.13107534222829,17.0474708608289,368
11558,IRQ,4,11,5.96237180955521,1.91534357455032,13.4256970738011,368
11559,IRQ,5,11,5.36829817059905,1.83153299083946,12.40055666863,368
11560,IRQ,6,11,4.65062117761034,1.51467735379059,11.0385474765949,368
11561,ISL,1,11,13.9061881153883,4.61832309300084,25.9766418591073,352
11562,ISL,2,11,21.692011440985,10.2282864815486,31.2306417318008,352
11563,ISL,4,11,30.5729902786672,20.5571098917018,33.0,352
11564,ISL,5,11,31.6018272752943,22.424130580557,33.0,352
11565,ISL,6,11,31.7820244094147,23.126117799208,33.0,352
11566,ISR,1,11,18.7263781217457,2.88742224049899,32.8670109555196,376
11567,ISR,2,11,18.6060204506381,4.29003797556009,32.2343103511726,376
11568,ISR,4,11,18.0665102688048,6.6892394508673,30.3227040918747,376
11569,ISR,5,11,16.9662160988381,6.19588847203451,28.7584085580346,376
11570,ISR,6,11,14.9780229690166,5.27704351890528,27.0742844620688,376
11571,ITA,1,11,0.416602875212532,0.0540956318909786,1.79621110717063,380
11572,ITA,2,11,1.46293566155984,0.304596133183067,4.51927127213935,380
11573,ITA,4,11,5.55800997160702,1.9147014722934,11.9620998255454,380
11574,ITA,5,11,7.00834604807991,2.63374855932015,14.1847256215658,380
11575,ITA,6,11,7.2913372789616,2.78518861358194,14.5564746680332,380
11576,JAM,1,11,12.6152951465259,6.11214820639548,21.3406579152368,388
11577,JAM,2,11,14.6667404771434,7.92748739883206,23.1873244971677,388
11578,JAM,4,11,17.9182682028274,10.6798863318985,26.0101636267288,388
11579,JAM,5,11,18.488535289823,10.7444377611448,26.2290390441918,388
11580,JAM,6,11,17.8301513769922,10.5246351822125,25.6527931241903,388
11581,JOR,1,11,32.7955122373748,12.4182758127372,33.0,400
11582,JOR,2,11,32.7008388651768,16.6697688678061,33.0,400
11583,JOR,4,11,32.5618646300256,21.5773501169514,33.0,400
11584,JOR,5,11,31.8088067721703,21.0638738097537,33.0,400
11585,JOR,6,11,29.9028901009986,18.9395765729652,33.0,400
11586,JPN,1,11,1.05654677694855,0.0007120951874082,13.9509168620664,392
11587,JPN,2,11,1.87468416842811,0.0337935866317072,11.8483976562046,392
11588,JPN,4,11,3.80892377000751,0.70946894832257,10.9784800782307,392
11589,JPN,5,11,4.34551780323475,1.04265537848374,11.091235951812,392
11590,JPN,6,11,4.38526069222031,1.12552399007,10.8774170179127,392
11591,KAZ,1,11,3.00672385827359,0.686308548417938,8.21220362239385,398
11592,KAZ,2,11,3.7138279504397,0.959641276849735,9.07876068731926,398
11593,KAZ,4,11,4.79954264584777,1.46528101818368,10.7009542335097,398
11594,KAZ,5,11,5.07532629682435,1.57910518066391,11.305610989079,398
11595,KAZ,6,11,5.00441820042405,1.55112618576251,10.94882343322,398
11596,KEN,1,11,3.01074085814647,0.0797262647544088,20.8459647421025,404
11597,KEN,2,11,3.47723006113495,0.259451029940096,16.967808020527,404
11598,KEN,4,11,4.35788103312507,0.793384222757079,13.09364318136,404
11599,KEN,5,11,4.20937179687609,0.873707086233681,12.3264190413492,404
11600,KEN,6,11,3.75197594905781,0.724505309748168,11.2215112181583,404
11601,KGZ,1,11,9.81974677241942,2.37291712063289,21.610278127527,417
11602,KGZ,2,11,11.9512657996054,3.45792591854082,23.3503787303942,417
11603,KGZ,4,11,15.0946852234639,4.89506752778288,25.7214143225288,417
11604,KGZ,5,11,15.585377057243,5.33533656121007,26.2718299752972,417
11605,KGZ,6,11,15.6104690616468,5.2282819627245,26.6466962441254,417
11606,KHM,1,11,11.5780774144827,0.097809902404794,33.0,116
11607,KHM,2,11,16.3387341010616,1.13870906139313,32.8733187644303,116
11608,KHM,4,11,22.7848570078803,8.57976217780234,32.7518321834282,116
11609,KHM,5,11,24.0011772896601,10.9341652163035,32.660075891902,116
11610,KHM,6,11,24.3825094090421,11.5049641802806,32.3621703518336,116
11611,KIR,1,11,10.3464713257091,0.401265926814148,31.0613979665242,296
11612,KIR,2,11,13.6133329760976,2.06879674824127,29.6349467212968,296
11613,KIR,4,11,19.0544664064115,8.99789049665899,28.3842202721576,296
11614,KIR,5,11,20.1182841261048,10.9875748148703,28.6356369994752,296
11615,KIR,6,11,20.1804191546631,11.6165036563168,28.3400949970076,296
11616,KOR,1,11,10.4306569451479,0.294670577234589,31.851172742009,410
11617,KOR,2,11,14.001867164116,1.82567590389872,30.9000140037799,410
11618,KOR,4,11,19.6589718447242,8.49416713282703,30.1246878204729,410
11619,KOR,5,11,21.0065435083521,10.4942242192325,30.1748319688188,410
11620,KOR,6,11,20.975127304655,10.9632223347607,30.0726452430432,410
11621,KWT,1,11,19.8521134541824,3.77794909043237,33.0,414
11622,KWT,2,11,19.5235874574808,5.67748016669245,32.0100845646568,414
11623,KWT,4,11,18.7370249648411,7.97738135897397,29.789156046124,414
11624,KWT,5,11,17.6935546130095,7.85033927624684,29.0729944841301,414
11625,KWT,6,11,16.1453324055323,6.67144425087288,27.7261728886532,414
11626,LAO,1,11,1.31269728833933,5.07332267099285e-05,25.9121986717342,418
11627,LAO,2,11,2.90464975007711,0.0093562605665982,23.5235576234617,418
11628,LAO,4,11,7.05966072496643,0.539789566795592,21.9577254794679,418
11629,LAO,5,11,8.04781768587045,1.05726910840495,22.552632288761,418
11630,LAO,6,11,8.24466721226586,1.00110808361196,22.0513327647453,418
11631,LBN,1,11,17.5883462228473,4.21093940780649,33.0,422
11632,LBN,2,11,17.3798634087789,6.58093305057989,30.6432719635955,422
11633,LBN,4,11,17.0724364126789,9.55186447296619,25.3044097950984,422
11634,LBN,5,11,16.0667931544526,9.04797826909363,23.7326489617817,422
11635,LBN,6,11,14.4583933251978,7.87078870226077,21.9381386592944,422
11636,LBR,1,11,3.08838702419,0.0060817679748422,29.9814310808757,430
11637,LBR,2,11,3.98607248839081,0.054957826253115,25.8662479801105,430
11638,LBR,4,11,5.34980897455622,0.339857089316956,21.1729716573336,430
11639,LBR,5,11,5.01543190780098,0.318464257806368,19.8299827110023,430
11640,LBR,6,11,4.19770127956307,0.245404886411441,18.9206918710747,430
11641,LBY,1,11,16.9457980997908,2.90989629510857,31.9227831543824,434
11642,LBY,2,11,16.4595224198531,4.59301599177111,30.2064805891001,434
11643,LBY,4,11,15.8861387533817,6.8941383300232,27.1608618198996,434
11644,LBY,5,11,14.9910567695847,6.41955517118369,25.8401500743746,434
11645,LBY,6,11,13.2879032412923,5.61401015596308,24.4516530587984,434
11646,LCA,1,11,9.33208615320624,3.58067988171969,18.9050094925112,662
11647,LCA,2,11,11.2328360034626,4.93999518281774,20.419192163171,662
11648,LCA,4,11,14.4087433652991,6.9361094186606,23.6174523632258,662
11649,LCA,5,11,14.8080587062535,7.29433159456477,24.165541518646,662
11650,LCA,6,11,14.3076058922573,7.16262650157413,23.5524737153108,662
11651,LKA,1,11,5.01415298211403,0.0025289811501414,28.4731304705092,144
11652,LKA,2,11,7.14045962891297,0.135484251348292,28.014266371888,144
11653,LKA,4,11,11.5144532091513,2.72521855597657,28.4808727684583,144
11654,LKA,5,11,12.8558006576057,4.30653716578112,29.1728463370793,144
11655,LKA,6,11,13.6120044542145,5.06319184790774,29.2969234043126,144
11656,LSO,1,11,11.2279904655928,0.443114311249684,32.7662834530111,426
11657,LSO,2,11,12.7991131302437,1.32606682941528,31.4286627526537,426
11658,LSO,4,11,15.193182001113,3.56890422792868,28.842024960055,426
11659,LSO,5,11,14.8020438221194,3.80995219978769,28.1416895769281,426
11660,LSO,6,11,13.5743323614782,3.44260932452588,27.0970352470208,426
11661,LTU,1,11,10.9844836910296,3.53046438444691,21.9466403089246,440
11662,LTU,2,11,12.8918529098711,4.72146384502943,23.7188058728828,440
11663,LTU,4,11,15.5886159433378,6.47907665664008,25.3897122898523,440
11664,LTU,5,11,16.1156209541265,6.55264202077537,25.9575033578286,440
11665,LTU,6,11,16.032074855927,6.70376202428874,26.2349386028713,440
11666,LUX,1,11,3.0849540096437,0.749048220872097,9.66870269460938,442
11667,LUX,2,11,6.48802052492513,2.13271116691561,15.0592436578955,442
11668,LUX,4,11,14.4171713457747,6.57177709555334,24.0550886017056,442
11669,LUX,5,11,16.6309377328926,8.00585418832117,26.2046950597212,442
11670,LUX,6,11,16.8764022728605,7.95474650490807,26.6477310298884,442
11671,LVA,1,11,8.50341555112492,2.51496571235691,18.3866180990042,428
11672,LVA,2,11,9.98257539346305,3.31574126194495,20.2028531968746,428
11673,LVA,4,11,12.6436421853914,4.73305544857022,22.6914076828368,428
11674,LVA,5,11,13.1089234670166,5.01535820297639,23.2671088073937,428
11675,LVA,6,11,12.8912255048532,4.86814295467823,23.2151398670489,428
